frame_index,tracker_id,vehicle_type,class_id,x,y,distance,time_s,speed_kmh,speed_ms,traffic_light_status,yellow_light,distance_to_stop_line,distance_to_front_vehicle,traffic_density,ttc,yellow_light_decision,go_stop_label
90,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
91,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
92,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
93,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
94,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
95,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
96,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
97,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
98,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
99,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
100,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
101,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
102,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
103,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
104,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
105,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
106,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
107,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
108,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
109,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
110,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
111,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
112,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
113,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
114,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
115,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
116,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
117,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
118,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
119,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
120,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
121,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
122,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
123,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
124,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
125,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
126,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
127,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
128,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
129,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
130,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
131,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
132,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
133,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
134,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
135,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
136,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
137,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
138,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
139,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
140,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
141,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
142,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
143,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
144,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
145,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
146,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
147,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
148,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
149,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
150,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
151,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
152,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
153,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
154,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
155,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
156,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
157,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
158,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
159,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
160,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
161,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
162,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
163,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
164,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
165,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
166,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
167,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
168,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
169,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
170,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
171,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
172,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
173,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
174,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
175,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
176,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
177,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
178,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
179,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
180,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
181,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
182,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
183,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
184,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
185,2,car,2,5,58,,,,0.0,YELLOW,True,58.0,30.0,2,999.0,,0
185,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
186,2,car,2,5,57,,,,0.0,YELLOW,True,57.0,29.0,2,999.0,,0
186,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
187,2,car,2,5,57,,,,0.0,YELLOW,True,57.0,29.0,2,999.0,,0
187,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
188,2,car,2,5,57,,,,0.0,YELLOW,True,57.0,29.0,2,999.0,,0
188,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
189,2,car,2,5,56,,,,0.0,YELLOW,True,56.0,28.0,2,999.0,,0
189,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
190,2,car,2,5,55,,,,0.0,YELLOW,True,55.0,27.0,2,999.0,,0
190,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
191,2,car,2,5,55,,,,0.0,YELLOW,True,55.0,27.0,2,999.0,,0
191,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
192,2,car,2,5,54,,,,0.0,YELLOW,True,54.0,26.0,2,999.0,,0
192,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
193,2,car,2,5,54,,,,0.0,YELLOW,True,54.0,26.0,2,999.0,,0
193,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
194,2,car,2,5,54,,,,0.0,YELLOW,True,54.0,26.0,2,999.0,,0
194,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
195,2,car,2,6,53,,,,0.0,YELLOW,True,53.0,25.0,2,999.0,,0
195,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
196,2,car,2,6,52,,,,0.0,YELLOW,True,52.0,24.0,2,999.0,,0
196,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
197,2,car,2,6,51,7.0,0.5,50.4,14.0,YELLOW,True,51.0,23.0,2,3.642857142857143,,0
197,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,2,999.0,,0
198,2,car,2,6,51,7.0,0.5384615384615384,46.8,13.0,YELLOW,True,51.0,23.0,2,3.923076923076923,,0
